School,3PTA,3PT%,2PTA,2PT%,Steals,ORB%,AdjT
College of Charleston,23.9,0.339,39.8,0.499246231,7.97,0.359,73.4175
Colorado,18.8,0.366,37.2,0.48172043,5.48,0.3,67.2331
Colorado State,21.8,0.357,33.4,0.560778443,6.39,0.221,65.0792
Columbia,21.4,0.356,37.4,0.464705882,5.92,0.273,69.422
Connecticut,21.1,0.352,40.1,0.480798005,5.94,0.377,64.8837
Coppin State,28.9,0.297,28.9,0.475432526,8.06,0.201,72.1229
Cornell,27.7,0.348,32.9,0.566869301,7.92,0.28,71.6332
Creighton,21.8,0.308,35.4,0.533615819,5.49,0.284,66.8916
Dartmouth,26.2,0.339,32.2,0.478881988,6.64,0.239,64.582
Davidson,22.9,0.387,32.6,0.547546012,4.62,0.238,64.6212
Dayton,18.1,0.361,35.7,0.536694678,5.54,0.301,62.9884
Delaware,21.5,0.347,33.9,0.546902655,6.66,0.269,66.6342
Delaware State,18.6,0.325,37.4,0.442780749,7.25,0.274,68.3204
Denver,19.7,0.368,35.7,0.511204482,5.22,0.232,66.2589
DePaul,20.8,0.317,39.9,0.494235589,6.23,0.317,68.6654
Detroit Mercy,27.9,0.374,29.3,0.501706485,5.87,0.279,64.6442
Drake,20.4,0.344,38.7,0.52118863,7,0.295,66.0678
Drexel,21,0.346,38.2,0.526701571,4.76,0.253,66.3185
Duke,21.6,0.366,38.8,0.56185567,6.38,0.316,67.3866
Duquesne,20.5,0.305,40.9,0.451589242,6.63,0.293,65.7625
East Carolina,22.5,0.333,35,0.451428571,6.77,0.275,67.5161
East Tennessee State,25.1,0.35,34.9,0.513467049,6.75,0.313,65.2463
Eastern Illinois,18.3,0.326,32.2,0.438819876,6.32,0.217,64.6355
Eastern Kentucky,33.2,0.353,35.3,0.478753541,10.2,0.297,70.7724
Eastern Michigan,20.5,0.308,38.1,0.495538058,5.84,0.23,69.101
Eastern Washington,25.2,0.35,33.6,0.529166667,5.56,0.267,69.305
Elon,24.9,0.342,31.4,0.489490446,4.84,0.258,65.6889
Evansville,24.8,0.33,27.9,0.459856631,5.93,0.143,63.9531
Fairfield,22.4,0.34,34.9,0.492550143,5.42,0.278,64.1276
Fairleigh Dickinson,21.2,0.324,38.6,0.452072539,6.46,0.277,69.5091
Florida,26.1,0.303,30.8,0.532142857,8.35,0.315,64.8593
Florida A&M,15.1,0.302,41.9,0.47326969,6.27,0.262,65.3883
Florida Atlantic,25,0.352,33.9,0.528318584,7.38,0.315,67.2468
Florida Gulf Coast,29.2,0.35,32,0.55,6.68,0.311,69.6685
Florida International,27.5,0.35,31.6,0.499050633,6.41,0.27,66.6036
Florida State,20.3,0.331,39.1,0.488235294,8.52,0.316,67.7213
Fordham,25,0.297,33.4,0.466766467,7.31,0.27,67.5434
Fresno State,20.6,0.337,32.6,0.517177914,6.11,0.277,60.7756
Furman,31,0.38,28.9,0.553633218,8.26,0.277,64.7412
Gardner-Webb,22.5,0.329,34.5,0.51826087,7.26,0.253,67.356
George Mason,26.1,0.358,30.1,0.520598007,5.07,0.25,64.7144
George Washington,21.1,0.338,37.9,0.479419525,6.9,0.232,68.7883
Georgetown,22.4,0.342,39.7,0.431989924,7.16,0.323,69.9192
Georgia,19.9,0.321,34,0.511470588,5.22,0.256,68.4919
Georgia Southern,19.3,0.304,35.8,0.523463687,7.45,0.286,65.9915
Georgia State,23.1,0.33,39.2,0.440816327,8.79,0.339,67.1142
Georgia Tech,20.2,0.353,38.1,0.487401575,7.78,0.257,67.9364
Gonzaga,22.1,0.37,40.5,0.605185185,6.41,0.291,72.4831
Grambling,16.2,0.315,41.4,0.442270531,6.59,0.279,69.1621
Grand Canyon,23.2,0.351,35.6,0.481460674,6.65,0.347,65.3309
Green Bay,18.4,0.282,34.7,0.492795389,4.97,0.273,64.5742
Hampton,19.6,0.293,36.5,0.456164384,5.18,0.231,69.0204
Hartford,25.1,0.369,30.5,0.515409836,6.03,0.238,67.1118
Harvard,25.7,0.33,34.5,0.507246377,7.62,0.254,67.0397
Hawaii,22.7,0.358,31.4,0.498726115,3.54,0.291,65.0558
High Point,19.4,0.335,37.8,0.497354497,6.47,0.283,66.3768
Hofstra,28,0.34,34.6,0.562716763,7.97,0.237,68.9132
Holy Cross,17,0.343,40.8,0.442647059,5.94,0.276,66.9776
Houston,23.2,0.338,36.5,0.544109589,8.03,0.377,63.8376
Houston Christian,21.4,0.322,37.6,0.515957447,7.9,0.319,68.7168
Howard,23.6,0.359,36,0.493055556,8.38,0.289,70.2939
Idaho,21.5,0.372,35.4,0.485875706,3.55,0.236,69.8997
Idaho State,22.8,0.31,30.8,0.497727273,4.53,0.288,63.8018
Illinois,24.9,0.359,33.4,0.516766467,5.18,0.331,67.0758
Illinois State,21.4,0.367,37,0.498648649,6.79,0.285,67.9168
Illinois-Chicago,27.9,0.324,32.6,0.538957055,5.77,0.246,69.1381
Incarnate Word,24.8,0.348,30.6,0.469607843,5.19,0.236,64.5826
Indiana,17.7,0.333,39.1,0.509207161,5.63,0.27,66.9603
Indiana State,26.1,0.333,30.6,0.532352941,6,0.186,69.1036
Iona,21.3,0.332,37.9,0.509498681,6.55,0.318,68.9014
Iowa,25.3,0.363,39.2,0.525765306,7.33,0.322,69.5965
Iowa State,21.2,0.315,35.1,0.501709402,8.54,0.284,66.0731
IUPUI,17.6,0.292,33,0.426060606,5.72,0.311,62.2724
Jackson State,17.2,0.3,39.5,0.453924051,6.1,0.314,63.6759
Jacksonville,17.4,0.347,37.6,0.499202128,6.55,0.336,61.3941
Jacksonville State,24,0.386,32.1,0.527102804,6.22,0.295,65.1165
James Madison,21.5,0.345,38.4,0.528385417,8.52,0.269,68.7604
Kansas,19.8,0.361,40,0.53625,6.28,0.329,69.0976
Kansas City,19.8,0.366,37.9,0.536675462,7.42,0.204,67.2643
Kansas State,24.3,0.346,33.1,0.473716012,7.32,0.253,66.5039
Kennesaw State,22.8,0.365,36.4,0.524175824,7.13,0.309,66.1074
Kent State,22.7,0.333,34.1,0.514369501,7.12,0.312,65.8171
Kentucky,17.5,0.347,45.2,0.535619469,6.79,0.377,67.3275
La Salle,23.9,0.319,36,0.476944444,5.9,0.289,67.111
Lafayette,26.7,0.328,31.6,0.519936709,6.27,0.229,64.615
Lamar,17.5,0.299,39.5,0.447088608,5.83,0.302,65.9662
Lehigh,21.3,0.382,34.4,0.4875,4.41,0.211,67.9706
Liberty,27,0.382,27.6,0.561594203,5.39,0.23,65.2022
Lipscomb,23.5,0.344,32.9,0.538297872,4.42,0.231,69.0794
Little Rock,20.9,0.337,34.2,0.475438596,6.93,0.246,66.6397
Long Beach State,18.6,0.346,39.8,0.478643216,7.03,0.278,70.6553
Long Island University,25.3,0.314,37.9,0.505804749,7.7,0.304,72.2798
Longwood,21.6,0.378,36.9,0.497289973,7.79,0.342,66.0454
Louisiana,21.3,0.346,36.5,0.475342466,6.81,0.333,69.5053
Louisiana State,20.5,0.316,38.5,0.504675325,11,0.339,68.6446
Louisiana Tech,24.3,0.34,34.6,0.53583815,6.5,0.265,68.3816
Louisiana-Monroe,20.9,0.338,38.7,0.517829457,7.19,0.258,67.6392
Louisville,24.8,0.309,34,0.503235294,6.13,0.273,66.9622
Loyola (IL),23.4,0.379,31,0.549032258,6.94,0.251,64.5889
Loyola (MD),21.6,0.319,34.7,0.518731988,7.83,0.247,64.4474
Loyola Marymount,21,0.345,33.5,0.524179104,5.45,0.247,65.7771
Maine,22,0.308,35,0.481142857,7.17,0.25,66.1268
Manhattan,18.3,0.307,37,0.504594595,7.17,0.302,68.4918
Marist,21.8,0.344,36.1,0.495844875,5.83,0.264,66.0826
Marquette,25,0.344,34.8,0.526149425,7.78,0.225,70.6644
Marshall,25.2,0.301,38.6,0.523834197,6.76,0.278,72.1975
Maryland,21.2,0.326,35.8,0.496927374,6.38,0.273,66.4997
Maryland-Baltimore County,24.3,0.378,33,0.491212121,4.78,0.219,68.209
Maryland-Eastern Shore,24.6,0.314,33.3,0.47027027,10.1,0.294,67.5
Massachusetts,25.6,0.371,33.8,0.479289941,6.47,0.293,68.9418
Massachusetts-Lowell,19.3,0.306,40.9,0.511002445,7.32,0.295,67.3295
McNeese State,20.6,0.313,42.2,0.517772512,7.79,0.361,69.5536
Memphis,17.5,0.355,39.9,0.518546366,8.39,0.374,70.2976
Mercer,23.2,0.351,31.7,0.535646688,6.15,0.253,64.6032
Merrimack,21.6,0.331,31.7,0.48170347,9.03,0.222,62.0756
Miami (FL),20.5,0.339,37.2,0.547043011,8.86,0.224,67.2783
Miami (OH),26.4,0.346,35.5,0.509014085,5.53,0.272,67.6204
Michigan,18.5,0.339,39.1,0.527877238,4.71,0.31,66.285
Michigan State,19.3,0.378,37.9,0.496569921,5.69,0.307,67.5067
Middle Tennessee,24.7,0.33,33.1,0.53897281,7.97,0.303,67.4582
Milwaukee,19.6,0.317,36.8,0.477717391,4.91,0.259,66.7823
Minnesota,21.2,0.368,35.4,0.480225989,5.33,0.175,65.004
Mississippi,21.3,0.326,35.7,0.500280112,7.09,0.267,65.0824
Mississippi State,15.6,0.295,40,0.517,7.91,0.341,65.4602
Mississippi Valley State,23.3,0.305,38.2,0.436910995,7.39,0.233,70.6686
Missouri,18.5,0.281,37.7,0.496551724,6.52,0.32,65.5121
Missouri State,22.2,0.374,36,0.549444444,5.32,0.251,66.8186
Monmouth,19.2,0.331,37.1,0.464959569,6.26,0.294,66.0572
Montana,20,0.349,34.8,0.511494253,5.5,0.195,65.1596
Montana State,20.8,0.368,35,0.535428571,5.23,0.273,67.294
Morehead State,23.1,0.36,32.9,0.52218845,5.85,0.312,64.67
Morgan State,19.6,0.313,43.4,0.492165899,8.46,0.314,71.6881
Mount St. Mary's,17.2,0.345,39.2,0.486479592,5.7,0.314,63.2161
Murray State,22.8,0.351,37.7,0.551724138,7.82,0.358,65.7834
Navy,17.7,0.326,38.3,0.479112272,7.06,0.337,64.586
NC State,24.5,0.341,37.9,0.460686016,7.03,0.302,66.8886
Nebraska,21.9,0.32,36.7,0.517711172,7.19,0.205,71.0448
Nevada,20.9,0.333,36.7,0.515803815,6.39,0.245,70.1106
Nevada-Las Vegas,24.5,0.336,33.1,0.488821752,6.13,0.271,66.1628
New Hampshire,23.6,0.366,33.7,0.491394659,4.64,0.288,62.1765
New Mexico,22.6,0.344,37.4,0.489839572,6.25,0.238,70.8954
New Mexico State,23.9,0.33,32.4,0.54691358,5,0.33,66.1724
New Orleans,13.4,0.308,46.3,0.511231102,7.94,0.268,71.7276
Niagara,20.2,0.345,35.7,0.493837535,5.63,0.232,64.2017
Nicholls State,24.9,0.327,40.9,0.553789731,8.27,0.315,69.6443
NJIT,19.6,0.327,35.7,0.453501401,6.07,0.23,65.8958
Norfolk State,20.3,0.343,36.7,0.526702997,6.68,0.307,66.9322
North Alabama,26.2,0.316,37.2,0.452419355,6.83,0.275,67.5973
North Carolina,23.5,0.358,38.3,0.501044386,5.18,0.318,70.1492
North Carolina A&T,20.2,0.312,39.1,0.483120205,7.78,0.299,67.3178
North Carolina Central,19.5,0.332,38.6,0.508290155,8.74,0.335,67.5
North Dakota,26,0.345,32.9,0.450759878,4,0.266,67.2486
North Dakota State,21.2,0.358,35.7,0.523529412,3.91,0.253,66.2569
North Florida,28.2,0.339,28,0.494642857,5.55,0.262,67.6293
North Texas,21.6,0.357,29.4,0.506122449,6.53,0.323,59.0034
Northeastern,21.2,0.32,31.2,0.516987179,4.71,0.263,64.301
Northern Arizona,24.2,0.358,33.5,0.460895522,4.5,0.286,65.0107
Northern Colorado,26.8,0.381,31.3,0.555910543,3.97,0.229,69.5465
Northern Illinois,18.4,0.317,36.5,0.470410959,6.27,0.243,66.9062
Northern Iowa,24.4,0.355,31.6,0.538291139,5.75,0.21,67.0638
Northern Kentucky,25.3,0.345,33.4,0.49251497,9.06,0.353,64.091
Northwestern,24.1,0.347,38.1,0.479002625,6.48,0.254,67.5816
Northwestern State,21.3,0.342,41.6,0.498076923,6.34,0.293,71.0994
Notre Dame,23.8,0.381,32.6,0.521779141,5.2,0.224,65.7294
Oakland,24.3,0.302,34.3,0.53819242,9.03,0.314,67.3379
Ohio,26.9,0.335,32.6,0.511349693,7.51,0.274,67.3507
Ohio State,21.5,0.365,32.9,0.539817629,4.5,0.293,64.9727
Oklahoma,21.9,0.347,31.2,0.567307692,7.37,0.258,64.7775
Oklahoma State,18.2,0.295,39.7,0.49697733,8.53,0.323,67.5525
Old Dominion,15,0.294,41.6,0.485336538,6.41,0.322,64.195
Omaha,19.9,0.355,38.5,0.470909091,4.8,0.242,69.7787
Oral Roberts,30.6,0.38,35.6,0.52247191,5.52,0.284,70.2404
Oregon,21.4,0.333,37.9,0.516886544,6.8,0.3,67.8657
Oregon State,17.8,0.319,40.1,0.496758105,5.97,0.262,66.5016
Pacific,19.1,0.318,37.9,0.465171504,6.4,0.227,68.0538
Penn State,23.5,0.342,31.7,0.500630915,5.29,0.286,61.8891
Pennsylvania,24.1,0.335,35.8,0.520391061,5.5,0.252,67.5303
Pepperdine,21.3,0.34,39.2,0.460459184,5.66,0.266,69.8108
Pittsburgh,17.1,0.314,33.8,0.465088757,5.38,0.305,63.8881
Portland,22.2,0.35,35.5,0.491267606,5.06,0.239,68.8138
Portland State,20.6,0.298,40.9,0.497310513,9.32,0.273,70.8753
Prairie View,18.3,0.345,37.8,0.467460317,8.48,0.317,70.1592
Presbyterian,21.2,0.27,37.6,0.507446809,7.91,0.339,64.0436
Princeton,28.2,0.387,34,0.570588235,6.2,0.258,66.6906
Providence,21.4,0.344,34.9,0.491117479,5.03,0.303,65.193
Purdue,22.2,0.384,34.4,0.557848837,4.65,0.352,65.764
Purdue Fort Wayne,25.4,0.371,31.8,0.527672956,8.76,0.232,68.2491
Quinnipiac,25.8,0.345,33.2,0.5,6.35,0.287,68.6773
Radford,22.6,0.307,32.8,0.489939024,6.62,0.289,64.0392
Rhode Island,15.9,0.337,38.5,0.505194805,7.39,0.286,67.1721
Rice,24.3,0.37,33,0.524242424,5.12,0.266,67.4769
Richmond,23.8,0.329,33.3,0.521321321,7.59,0.224,66.8627
Rider,17.3,0.322,43.2,0.449537037,6.85,0.293,66.7699
Robert Morris,17.7,0.339,37.8,0.521164021,6,0.285,66.6084
Rutgers,18.3,0.339,39.7,0.493198992,7.03,0.296,64.9317
Sacramento State,18.8,0.359,36.9,0.467208672,5.97,0.224,64.1377
Sacred Heart,23.5,0.343,36.9,0.510298103,5.47,0.318,67.2882
Saint Francis (PA),18.7,0.315,41.6,0.471153846,6.57,0.31,67.2445
Saint Joseph's,26.6,0.336,32.5,0.491384615,4.93,0.27,67.8595
Saint Louis,18.3,0.369,41.4,0.499033816,6.43,0.344,67.7464
Saint Mary's (CA),20.5,0.353,35.8,0.526815642,6.91,0.278,63.493
Saint Peter's,16.6,0.35,38.3,0.459007833,7.06,0.313,65.9614
Sam Houston State,25.4,0.343,34.7,0.4870317,7.61,0.279,64.7124
Samford,26.1,0.336,33.9,0.531563422,7.44,0.306,68.9554
San Diego,16.4,0.335,41.6,0.464423077,5.06,0.27,65.4851
San Diego State,16.9,0.354,38.1,0.467191601,7.47,0.295,65.2809
San Francisco,27.5,0.35,33.2,0.547590361,7.68,0.302,68.6767
San Jose State,25,0.352,30.4,0.489802632,5.23,0.224,65.3339
Santa Clara,19.1,0.378,40.3,0.53573201,5.97,0.228,70.7251
Seattle,28.4,0.34,33.8,0.480473373,6.91,0.264,70.3976
Seton Hall,21.6,0.338,38.6,0.466062176,7.06,0.326,67.2574
Siena,19,0.356,36.9,0.461788618,6.21,0.245,66.2108
South Alabama,20.2,0.337,36.7,0.528882834,6.97,0.289,66.4514
South Carolina,21.5,0.316,40.2,0.482338308,7.84,0.343,70.4319
South Carolina State,21.2,0.3,44.3,0.436794582,6.65,0.357,69.9462
South Carolina Upstate,22,0.365,35,0.499142857,6.34,0.227,68.2008
South Dakota,19.1,0.374,38.3,0.510966057,4.42,0.271,65.5593
South Dakota State,20.9,0.445,38.2,0.562565445,6.09,0.24,69.4008
South Florida,17.6,0.252,40.1,0.427680798,6.23,0.296,64.9011
Southeast Missouri State,25.5,0.344,33,0.50969697,6.47,0.257,71.6853
Southeastern Louisiana,24.9,0.357,33.4,0.536526946,7.94,0.27,70.5626
Southern,19.5,0.353,38.4,0.48515625,10.5,0.277,69.8349
Southern California,18.9,0.357,40,0.501,5,0.335,66.022
Southern Illinois,21.8,0.354,29.8,0.513087248,5.48,0.227,62.0463
SIU Edwardsville,20.2,0.291,37.6,0.484574468,7.13,0.341,68.3714
Southern Methodist,24,0.354,32.9,0.505167173,6.27,0.276,68.0122
Southern Mississippi,17.1,0.313,39.4,0.48071066,5,0.236,66.9551
Southern Utah,24.3,0.343,35.4,0.541242938,6.06,0.287,68.3824
St. Bonaventure,18.3,0.331,39.8,0.508542714,6.33,0.269,65.6373
St. Francis (NY),22.3,0.314,38.5,0.464935065,6.67,0.3,66.5215
St. John's (NY),21.6,0.335,45.2,0.509955752,8.84,0.307,73.436
St. Thomas (MN),31.2,0.357,29.3,0.532423208,5.17,0.18,65.1638
Stanford,21.5,0.339,34.1,0.493255132,5.56,0.338,65.6835
Stephen F. Austin,17.9,0.33,39.9,0.538596491,9.06,0.345,68.8666
Stetson,24.3,0.35,35,0.485714286,7.03,0.296,65.6337
Stony Brook,24.2,0.339,35.8,0.505865922,6.71,0.27,68.1192
Syracuse,24.1,0.377,37.4,0.497593583,7,0.292,67.4631
Tarleton State,16.5,0.305,37.8,0.467460317,7.65,0.28,62.9781
TCU,18.3,0.302,39.4,0.504314721,6.44,0.378,65.834
Temple,21.7,0.311,35,0.448,6.76,0.327,66.2112
Tennessee,24.2,0.36,36,0.483055556,9.31,0.325,67.1668
Tennessee State,18.8,0.35,39.1,0.491304348,6.75,0.303,67.4225
Tennessee Tech,20.5,0.342,41.9,0.501193317,7.25,0.316,69.2342
Tennessee-Martin,22.8,0.299,38.4,0.48359375,6.6,0.305,68.7702
Texas,20,0.33,35.5,0.503661972,7.68,0.315,63.0969
Texas A&M,20,0.325,38.4,0.505208333,9.95,0.343,66.6338
Texas A&M-Corpus Christi,19,0.336,41.9,0.489260143,8.51,0.346,68.9287
Texas Southern,17.9,0.314,40,0.48675,5.56,0.33,67.6207
Texas State,16.9,0.374,38.2,0.502356021,6.48,0.316,63.6513
Texas Tech,18.9,0.321,36.6,0.549726776,8,0.332,66.455
Texas-Rio Grande Valley,20.8,0.304,34.7,0.523919308,5.23,0.251,71.7047
The Citadel,30.3,0.354,30.5,0.53442623,4.71,0.254,70.379
Toledo,19.5,0.354,42.9,0.535897436,5.53,0.303,68.7289
Towson,21.9,0.357,35.2,0.505965909,7.26,0.352,64.4472
Troy,22.9,0.327,33.7,0.492581602,7.88,0.316,66.7474
Tulane,22.1,0.365,35.2,0.489488636,7.93,0.199,67.8237
Tulsa,20,0.342,35.4,0.484745763,6.84,0.267,66.3766
UAB,21,0.376,42.2,0.514454976,9.54,0.337,68.7871
UC Davis,18.3,0.333,38.6,0.49015544,6,0.26,67.0256
UC Irvine,15.5,0.325,39.6,0.488888889,6,0.307,65.1048
UC Riverside,22.4,0.32,32.7,0.526605505,5.25,0.241,65.2019
UC San Diego,24.7,0.37,29.5,0.503728814,5.76,0.185,67.7671
UC Santa Barbara,16.4,0.332,38.1,0.566141732,6.25,0.293,65.5011
UCLA,19.2,0.353,42.2,0.493601896,6.97,0.314,65.5444
UNC Asheville,22.6,0.363,34.2,0.519883041,6.5,0.277,66.4147
UNC Greensboro,21.4,0.342,33,0.487575758,6.41,0.333,62.1205
UNC Wilmington,21.4,0.333,37.8,0.475132275,7.61,0.28,65.2465
UT Arlington,20.2,0.313,38.3,0.474151436,7.83,0.316,65.058
Utah,22.8,0.335,35.2,0.473011364,4.58,0.293,66.0731
Utah State,22.8,0.342,33.8,0.568343195,6.15,0.263,66.4634
Utah Tech,22.5,0.314,37.7,0.491777188,6.71,0.283,71.2695
Utah Valley,17.2,0.37,37.7,0.491246684,5.47,0.328,65.7171
UTEP,21.8,0.35,35.6,0.479775281,7.44,0.235,66.4648
UTSA,21.3,0.294,41.5,0.446987952,5.72,0.31,68.5622
Valparaiso,21.6,0.332,35.3,0.535694051,6.38,0.169,64.9861
Vanderbilt,25.4,0.34,30.2,0.496357616,7.25,0.275,67.774
Vermont,24,0.365,31.9,0.587460815,5.09,0.243,64.9527
Villanova,26,0.359,30.1,0.497009967,6.03,0.312,62.55
Virginia,15.6,0.323,36.4,0.501923077,5.71,0.278,59.2081
Virginia Commonwealth,16.3,0.347,37.5,0.5104,9.19,0.266,68.2785
VMI,32.8,0.381,26.8,0.555970149,4.81,0.244,68.4173
Virginia Tech,22.6,0.392,32.4,0.525925926,5.33,0.279,62.9067
Wagner,17.9,0.285,41.8,0.540430622,8.37,0.339,66.3992
Wake Forest,24.6,0.344,33.3,0.583783784,6.49,0.268,70.0023
Washington,19.8,0.312,40.5,0.461975309,8.28,0.293,69.3907
Washington State,26.7,0.335,33.8,0.460059172,6.41,0.334,66.1115
Weber State,21.1,0.339,34.9,0.55730659,7.67,0.207,69.4246
West Virginia,19.2,0.328,37.9,0.45646438,7.79,0.299,67.91
Western Carolina,31.3,0.319,30,0.486666667,4.88,0.294,68.1323
Western Illinois,26.2,0.331,37.8,0.506349206,6.22,0.287,70.442
Western Kentucky,21.7,0.354,37.2,0.532526882,8.47,0.246,68.4689
Western Michigan,25.4,0.332,30.6,0.491830065,5.32,0.266,63.9283
Wichita State,24.2,0.312,34.2,0.466666667,7.54,0.323,66.7691
William & Mary,21.9,0.308,34.3,0.462099125,6.59,0.269,68.6652
Winthrop,23.2,0.371,31,0.57,6.47,0.267,68.2387
Wisconsin,21.1,0.306,37.4,0.487967914,5.3,0.26,66.466
Wofford,26.6,0.356,28.3,0.569964664,6.94,0.283,64.1314
Wright State,19.4,0.333,40,0.52325,5.89,0.308,68.4334
Wyoming,23.6,0.342,31.3,0.543450479,3.91,0.255,66.0062
Xavier,20.9,0.322,37.8,0.523280423,7.47,0.293,68.1678
Yale,20.9,0.328,37.2,0.504301075,6.23,0.257,68.6807
Youngstown State,21.9,0.343,35.7,0.511764706,5.38,0.305,66.1656
